,page,text
0,1,paul datiques soc biblio nèque 191004 laus anne décembre 1980 131 lecteurs écrivent envolez-vous siles fantaisie quiz jimmy boraschr entretien avec… edgar morin simplification fléau pensée propos recueillis març smedt bref france thérapies voyage héros napoléon jeanne d'arc partent quête d'eux-mêmes danièle levy bref etats-unis époque renaissance psychologie ghine réapparaît petit petit howard gardner editorial portrait lecteurs psycholagie adolescence quitter maison enquête départ jeunes france minou azoulai etats- unis daniel goleman avenir l'homme l'an 3000 sera-t-il différent science- fiction affüt.de évolutian psychologique bref allemagne claudie bert chronique sous- -développement pédagogie l'échec scolaire chramosomes enfants pauvres l'hérédité n'est ras cause michel schiff librairie enfant apprend parler roridäl peau manderine neill nouvelle alliance prigogine stengers autres parutions petites annonces mois index psychologie publié 1980 prochain numéro paraître jeudi janvier 1981 fes étpne til eur dplogie edite centre d'etude promotion de.la lecture ement retz rue roule 75001 paris-233.89.62 abonner voyez page
1,2,vivre malade mental fin d'un article intitulé vivre malade mental psychologie 128 septembre 1980 faisions appel témoignages ceux lecteurs contu cette expérience témoignages publions larges extraits ci-après respectant l'anonymat demandé quasi-totalité correspondants pourquoi fait-on rien démunis agent lycée veuve dépuis naissance seconde fille actuellement clinique psychiatrique depuis quatre ans allons médecins généralistes spécialistes l'espoir d'un changement d'une amélioration état hélas entièrement d'accord parents écrit leurs réactions face psychiatre tout d'abord fille dix-huit ans venait passer bac fait fugue cette année puis revenue essayé fac marché n'aurais rien reinarqué däns comportement rien laisse présager état actuel petite convulsions psychiquemient cette enfant rêveuse utopique causé aucun souci partis quelques copains fumé haschich pendant trojs jours s'est retrouvée seule sans .copains sans amis admise centre neurologique état démentiel j'ai prévenue huit jours après quel drame quelle détresse petite fille gentille folle c'est ainsi m'est apparue rejetant disant jes pires abominatiôns jamais n'ai près l'abîme jamais n'oublierai yeux fois cruels affreusement malheureux cœur d'une mère mour fallait l'aider sortir absolument seule d'amis parents monter fille aînée gendre disaient qu'elle faisait comédie non devai coup devais tenir pensais rand euro qu'elle faisait jen j'ai schizoïde autres ressenti aussi uipabidecins l'air iser surtout écayé homéo dit hic. sais plus faire paralysée l'autre jour enfin jai tion préférant savoir schizophrène répondu limite ... moment pari mettre centre entendre parler sant rien dois travailler toucha peux jaisser -h.l.m c'est vral maladie mentale mal acceptée personne ne€ comprend comme besoin contact humain sourires vivre enfin presque normalement m'excuse dire choses ressens profondément peu vrac pourquoi france fait rien aider pauvres gens plus démunis vais dire qu'un jour pensais sans cesse gaz j'ai appelé sœui comprenait pourquoi dit comprends-moi crie secours détérioré sept personnes saüvér constate beaticoup témoignages paru part d'un enfant dont père malade mentäl mère j'ai trente äns père reconnu malade mêntal paranoïa jorsque j'avais six ans j'avais l'époque trois frères 1959 née petite sœur mère vaillait l'extérieur gra mère secondait donc uit vivie mai signale diagnostic res psychose päranoïaque fic jamais connu sense mère c'est l'ail trouvé lorsque j'ai pris faire étude hée entre psychiatrique oui qua d'infirmière malade mental très besoin connaître soi folie fait peur c'est n'est paë fou fait sin nerveuse méde one coopérant sein allons l'encontr fallait contrarier jorsque faisions mel sentions culpabilisés eur père 138 ngoissait hyperautorig per mgressivité amc air poe père fou c'est tare éprouvons honte rde noveu l'angoisse s'ajoute à°p lélitude peur d'être comme ete malade refuse soins p'° n'avons aucun recours faire pat 1e5t soigner faut faire appel ent pou famille autorités signer qué placement ressent sen culpabilité celui param pre dange sortie angoisse 157.5 père vivait maladie entité mioi vivais ressentais nent angoisse permanente ques- persécutait pourquoi ssiitil fou allais-je deveni ais père était-il iou cévenir cornme enfants ris centre queraient-ils aussi cette tare louve essayer sauver père tout détérioré sept autres personnes quel droit faut informer menus racor gens vivent malade cati0b mental combat c'est fauté père maintenant mal peau tour n'arrivais .me situer vie familiale enfer j'ai quitter maison très jeune sentant coupable de- laisser mère seule père malade j'ai failli aussi devenir malade faisais crises d'asthme d'angoisse etc jour m'en sortie c'est jour j'ai décidé tenter études psychiatrie cette manière j'ai compris maintenant etre malad solitude jai vécu mentale c'est souhaïte interv juin 1979 axeuse sens mieux compléter gué fie avc rison j'ai entrepris analyse reproche médecins ten refus coopérer d'agir cest simple filer traitement cet épis depuis vingt-quatre ans fais laisser repartir péri xep client nes d'eeur pétioc vit daltati persorine détriment cord din fois avé res aire choix pre vivre raren heureuse quel prix mie battre fes pen pêre malade tren lecteur fidèl seize ans sire mêr psychologie poimême devenir yes vit compliqués fois simple aprés jnée tendre dure arri naissance dran ivé père démission ride
2,3,cre rrivais mmiliale sentant seule jevenir crises jour jour études anicré travail alors fier d'une promotion béné- l'explication fit interne arriva sous form attendre crise brands-parent nels donnèrent psychiatre avai l'adresse anse avai mère l'existence sychiatriques entretiens expliqua quelle éta maladie ectement schizophrène parents vorcé garde attribué mère évidemment seule ment problème entre mère cest n'avons mêmes sentiments l'égard père abouti conflit familial ouvert j'ai contacté juge enfants circonscription afin d'être retiré mère dont j'esti- l'attitude nuisait épanouissement aujourd'hui centre d'accueil d'où mis rapport centre psychothérapeutique trouve père depuis environ six moix tout ceci abouti manuscrit destine publi cation raconte vie combat etre malade mental solitude honte j'ai vécu épisode maladie mentale c'est titre souhaite intervenir ici juin 1979 épisode fuite anxieuse trois jours conduit hospitalisation motif hypoglycémie propos confus voie publique trois gendarmes m'emmènent l'hôpital demande non sans avoir consciencieusement fouillé voiture croyant avoir affaire drogué crise manque cet épisode dépressif plus grave faisait suite antécédents périodes dépressives périodes d'exaltation s'étaient résolues elles-mêmes mises compte d'une période d'échecs professionnels sentimenfaux l'issue cette grave crise devait marquer également entourage puisque .devais dispé raître pendant trois jours grâce soutien d'un psychiae jentreprends faire récit cette période dépressive door part essayer mme déculpars d'autre part essayer prendre recul tape cette aventure enfin sutiot pense lors l'on connai épisode déviance mentale ava altération réel joint ciceuere 180 portement maniaque l'on arrive s'en sortir c'est-à-dire véritablement reprendre contact réel sort autre première chose dont j'ai pris lente c'est souffrance vio- nte laquelle plongé déviant psychotique autre proie toutes terreurs proie matérialisation irréelle tous phantasmes profonde soli- tude l'incapacité qu'il converser tiers façon rationnelle durant maladie j'ai toujours conservé façon anesthésiée sentiment j'étais malade façon maladroite ina daptée j'ai cherché l'aide répétais pourquoi m'aidentils autres plus dur l'après maladie proches disent fnaladroïtement oublie oublier chaque année gens intelligents jeunes vont voir sombrer psychisme nuit autres savent peu moins proches taisent retrouve seul battre sans pouvoir parler début hantise recommencer sans trouver force dire fait exprès d'être malade surtout quand agit d'une maladie souvent difficile cerner ensuite traitement l'issue d'une rechute psychiatre suivait devait diagnostiquer concours psychose maniaco-dépressive donc chances d'être stabilisée lithium j'aurais mal dire ici sentiment honte lorsque chez pharmacien qu'il faut réclamer nécessaires petites pilules sous regard inquisiteur pharmacien dit plus donne mois reviendrez chercher suite mois cela bien peu chose car j'ai chance être remonté surface d'être stabilisé grâce compréhension l'ouverture quelques-uns amateurs reliure revue psychologie rupture stock imprévisible entraîné important retard l'envoi reliures commandées certain nombre lecteurs lors dernier trimestre maintenant réapprovisionnés tout donc rentré l'ordre prions lecteurs excuser contretemps d'avoir amabilité tenir rigueur parrimiidiène est-qlle maladies confession ancien timide j'avais toujours éprouvé secrète admiration w.r. borg sang-froid dont faisait preuve examens faculté l'aisance naturelle qu'il savait garder lorsque allions monde perpétuel sujet d'étonnement soir l'hiver dernier rencontrai paris banquet d'anciens camarades d'études plaisir revoir après séparation vingt ans poussant confidences vinmes naturellement raconter vies cachai mienne être bien meilleure n'avais toujours affreux timide borg dit j'ai souvent réfléchi phénomène contradictoire timides généralement êtres supérieurs pourraient réaliser grandes choses s'en rendent parfaitement compte mal condamne d'une manière presque fatale végéter situations médiocres indignes valeur heureusement timidité peut être guérie suffit attaquer bon côté faut avant tout considérer sérieux comme maladie physique non plus seulement comme maladie imaginaire borg m'indiqua alors procédé très simple régularise respiration calme battements cœur desserre gorge empêche rougir permet garder sang-froid circonstances plus embarrassantes suivis conseil j'eus bientôt joie constater trouvais enfin délivré complètement timidité plusieurs amis j'ai révélé cette méthode obtenu résultats extraordinaïres grâce étudiants réussi leurs examens représentants doublé chiffre d'affaires hommes décidés déclarer amour femme choix ... jeune avocat bafouillait lamentablement cours plaidoiries acquis art riposte valu succès retentissants place manque donner ici plus détails voulez acquérir cette maîtrise vous-même cette audace bon aloi meilleurs atouts réussir vie demandez w.r. borg petit livre lois eternelles succès l'envoie gratuitement quiconque désire vaincre timidité voici adresse w.r.borg dpt 700 chez aubanel place saint-pierre 84028 avignon sorian r—— b0n gratuit -—— découper recopier adresser w.r. borg dpt 700 chez aubanel place st-pierre 84028 avignon recevoir sans engagement part sous pli fermé lois eternelles succès nom brenoom rue code postal ville ive sas tnd
3,4,lcl tel haine
4,5,"rte liohitlinlasenensenh rat rtc rose eee lor gen bea uml 5,9 scsi sek henrrfeents fret cos den envolez-vous ailes fantaisie jimmy boraschi savons-nous nous-mêmes ressemble communication jambe plus connaissons c'est nous- non-humaïins monde peuplerait millemêmes quotidien battant peut-être recevrais-je décla- pattes mille problèmes terre terre rations d'extra-terrestres remède efficace puis oubliant milieu point départ l'injustice distractions également banales véritable fraternité universelle pourvu chirurgie esthédanse sport cinéma vacances tique existe toujours savons-nous grande évasion celle laquelle aspi- avoir don d'ubiquité c'estàdire rons tous sans mettre pouvoir être plusieurs endroits langage tous mois tant sûrs fois êtres animés .ct inanimés c'est impossible pourrais vérifier lui/elle bagarres perpéeh bien voici moment venu m'est infidèle tuelles fermez yeux imaginez hommes apprendraient m'entourerais d'êires humains baguette magique mieux connaître d'animaux d'objets pouvez faire vœu aussi faciliterait travail plairaient auxquels plairais extravagant soit-il coup police plus 'alibis pourrions apprendre tant sûr exaucé demanderiez-vous choses ignorons auessayons voir quoi l'es jourd hui semble grain folie ci-après allez trouver six rêves pouvoir contraindre tout interlocu dingues imaginez qu'ils réalisent teur dire vérité seule ressentir démangeaison pelous cochez sans réfléchir parmi force volonté tit doigt chaque fois qu'on lance trois réactions proposées celle cette disparition l'hypocrisie entreprise téméraire plus proche vôtre ferait monde endroit pourrais atteindre buts —————————— fait bon vivre sans courir aucun ris sûrement tordant midable communiquer distance compris saurais cela préserverait l'homme travers espaces inter-stellaires méfier bien erreurs l'image interlocuteur projctant temps écran devant yeux fascinant voir quoi fige duuce dlcunmens ueu chaque fois quelqu'un commettrait injustice pousserait graiterait petit doigt ferait tête comme avant voir résultats page"
5,6,rna rain nrnt
6,7,simplification fléau pensée sociologue philosophe edgar morin présente double visage premier plus connu esi celui d'un observateur passionné époque dont analyse tantôt certains phénomènes caractéristiques tantôt certains événements certaines crises pris chaud ailleurs insisté l'importance l'événement singulier réaction contre tendance courante pri vilégier système structure visage d'edgar morin sociologue présent apparaît premier plan œuvres telles l'esprit temps 1961 stars seuil 1957 1972 commune france métamorphose plodémet fayard 1967 mai 1968 brèche fayard 1968 rumeur d'orléans seuil 1969 1973 edgar morin également autre visage plus grave l'on peut dire celui penseur réfléchit propres méthodes sociétés humaines général sage apparaît déjà bien entendu livres cités ci-dessus temps qu'il observe edgar morin s'interroge notamment l'interaction entre l'observateur terrain apparaît bien davantage ouvrages entièrement consacrés réflexion approfondie notamment paradigme perdu nature humaine seuil 1975 surtout l'œuvre monumentale qu'il entreprise depuis plusieurs années méthode trilogie dont pre mier volume intitulé nature nature paru seuil 1977 second vie vie vient psychologie decembre 1980 paraître tour c'est second edgar morin expose pages suivent quelques-unes idées maîtresses dont l'une laquelle tient particulièrenient méthode n'est valable étutdier société aborde celle-ci toute complexité persuadé écrit-il premier volume méthode toute connaissance simplifiante donc mutilée mutilante traduit manipulation répression dévastation réel dès qu'elle transformée action singulièrement action politique pensée simplifiante barbarie spécifique civilisation méthode pourquoi avoir ainsi intitulé travail actuel dont deuxièmé tome vient paraître c'est titre s'est imposé n'entendons mot méthode sens d'une technique méthode faut comprendre principes opérationnels aident penser soi-même dirais mot méthode sens originel signifie voie chemin c'est comment cheminer faisant soi-même chemin n'ai appelé livre discours ... j'ai dit simplement méthode peut-être est-il peu dur peu prétentieux j'aurais dire méthode j'ai préféré méthode non claironner voilà méthode dire méthode propos recueillis marc smedi besoin premier plus profondément théorie philosophie d'idéologie besoin méthode aide penser complexité réel lieu dissoudre cette complexité coup mutiler réel c'est dire m'oppose méthode cartésienne simplifie réel grandes disjonctions science philosophie objet sujet matière esprit ainsi disjoints vont non seulement plus communiquer combattre limite s'exclure l'un l'autre c'est partir cette disjonction fondatrice rationalité scientifique imposé principes simplificateurs réduction disjonction l'unidimensionalisation réduction désintègre totalités organisées chercher l'explication partir l'élémentaire disjonction isole objets considérés l'environnement dont font partie l'observateur perçoit conçoit unidimensionalisation rejette peut être formalisé quantifié est-à-dire l'être l'existence dès lors peut effectivement avoir idées claires distinctes objets problème donc trouver méthode démarobjets non see een ets ais seulement comme organisés êtres existants sysimes penser anis comment l'enviro ans eur relation onnement dont font partie fait partie d'eux ainsi relation l'observateur conçoit comment comprendre connaissance l'étémen
7,8,"taire perd sens dès lors l'élément premier particule microphysique dissout révéler problème fondamental complexité première comment cesser d'opposer radicalement science philosophie permettre entre-féconder programme rigide stratégie tient compte hasards alors méthode voulez suggérer comment penser fond c'est cela alors évident mot méthode plus rien voir méthodologie méthodologie c'est ensemble recettes techniques c'est programme livre notamment deuxième volume j'oppose programme stratégie programme plan doit être exécuté varietur bien entendu cas d'obstacles programme s'arrête l'attente meilleures conditions car programme incapable faire appel nouveau l'imprévu alors stratégie justement modifier jes schémas d'action préétablis fonction rétroaction réalité stratégie tient compte hasards génie stratégique napoléon c'est qu'il savait profiter brouillard d'austerlitz celui-ci couvrant marécages paraissaient ss'opposer progression armée devenu protection permis justement cette progression stratégie c'est l'opportunisme chaque stratégie joue selon certaines règles e.m. tout jeu suppose règles contraintes hasards donc risques chances tous joueurs devons supporter contraintes jeu vivre stratégie tient compte contraintes hasards cherche utiliser maximum méthode sens n'est programme invite chacun pratiquer pensée stratégique invite considérer caractères multidimensionnels multifactoriels toute réalité souvenir toujours objet perçu n'est reflet réalité june représentation/traduction réalité nul objet n'est auto-suffisant monde phénomènés cette méthode échappe mutilisation méthodes monomaniaques réductrices perspicaces certes aspect choses aveuglant tous autres aspects telle méthode questionne rapports production luttes classes telle autre questionne l'œdipe l'ego libido faut questionner tout cela bien d'autres choses encore autrement dit méthode complexité n'apporte réponse toute faite n'est prêt-àpenser pousse-à-penser n'économise travail incite contraire beaucoup travailler empêche l'esprit sombrer mal simplification cite souvent cette phrase machado camino hace andar c'est-à-dire qu'il chemin chemin trace marchant défendez beaucoup concept nouvelle mentalité défends l'idée changement mentalité c'est-à-dire façon voir choses plus important changement d'idées ainsi nouvelle mentalité amène pensée stratégique vit danger risque hasard fait abandonner pseudo-sécurité programme ———— simplification mutilante taylorisme aliène ouvrier ——— pous dites simplification mal époque gens assomimés d'informations nbreuses diverses qu'ils mal digérer on.aurai tôt l'impression qu'il complexité articuler connaiss pluie d'informations fes monde nuage d'informations embrume c'est apes oyganisateurs ion monde trop pauvres trop ncapables entre simples arte ais a-til véris ples faut distinguer bachelard disa rofondément simplifié m'ege 5,511 simple simplifié exemple c'est méthode taylor pou concevoir travail ouvrier décomposait mouvements oubliant homme biolo ysi ques l'homme psychisme l'homme sonne cette simplification mutilante asservissante travailleur abouti contre rendement puisqu'elle fais appel l'intérêt l'initiative humaine cette simplificatio ièr n'est fille simplicité eur fille abstraction unidimen p5° sionalisante retient l'as pect physique travail élimine toù travailleur simple cest globalité d'un être indi duel cette globalité émer gence d'une formidable complexité énigf physique biologique psychologique free sociale lang devons penser simple conti complexe liés évi dences simples émergent partir d'une énorme complexité ainsi débo fallu fabuleuse complexité d'in teractions biologiques anthropologi- l'œil ques sociales arriver d'un simple sourire sens cule rien n'est plus simple qu'un sourire tion baiser l'amour entre deux êtres évidence très simple message aimez-vous uns mia autres simplicité enfantine parvenir l'amour message d'amour fallu fantastique évolution partant unicellulaires fallu déve déc loppement d'êtres polycellulaires éni devenant vertébrés mammifères dar primates hominiens fallu naisse rapport mammifère entire mère enfant jeu entre frères sœurs fallu l'attacht ment affectif l'enfance survive l'état adulte déborde champ strictement familial fallu sentiment affectif intense s'ass cie l'attraction partenailé sexuel message éval gélique fallu dévelop ments civilisationnels culturt® fantastiques arriver simple phrase aimez-vous autres l'innocencé pes simplification éle pose non complexité complication sophistiquée sonnements abstraits ismes préciosités linnocé l'idiot dostoïevski recèl saucoup plus vérité complet science diafoirus compétence homais till trissotin ainsi réalités complexes aspect émerge"
8,9,partir ainsi exilé d'inthropologiver sens sourire tre deux simple uns îes enfan très simple évidences très simples envers substrat complexe ... prétendez aussi qu'on passe sans cesse l'élucidation d'une question re-question eee l'ignorance doit progresser connaissance eee ——————— élucidation annule mystère choses redonne saveur élucidation n'élimine mystère rend plus fort cela veut dire toutes énigmes insolubles merveilleux c'est brusquement énigmes élucidées code génétique c'était énigme formidable déchiffrée découvert fameux langage double articulation contrôle gènes fait bases chimiques l'adn fois cette énigme dévoilée débouche mystère la-vie n'est parce disons l'œil peut former qu'en vertu d'une certaine disposition molécules l'adn cette disposition explique l'œil c'est comme fait d'écrire mot chat chat expliquait pourquoi chat miaule ... connaissance passionnante parce qu'elle fois satisfaisante insatisfaisante c'est aventure résolu mille énigmes découvre.sans cesse nouvelles énigmes résoudre encore progrès connaissance également passionnante approche fsychologie decembre 1980 très belles élucide obscurcit temps ainsi connaissance progresse femps ignorance j'ajouterai ignorance doit progresser qualité mème monde entre l'ignorance inconsciente d'elle-même c'est-à-dire l'agsurance dogmatique prise conscience l'ignorance plus encore connaissance peut doit désormais travailler commercer sans trève l'ignorance parlons fameux problème l'inné l'acquis… notions d'inné d'acquis s'opposent comme sait elles s'associent aussi ainsi faut très hautes compétences cognitives priori c'est-à-dire innées plus généralement cerveau inné très complexe développé qu'il grande aptitude acquérir faut rompre l'idée fait l'esprit cire molle d'autant plus ouverte l'expérience qu'elle molle contraire cire molle jouet pressions déterminations extérieures sans pouvoir apprendre elle-même ———————————————————— larmes innées apprend quand pleurer ainsi savons désormais constance perceptive c'est-à-dire processus cérébral nôus fait percevoir constants mêmes objets bien image- rétinienne varie selon distance vient d'un apprentissage petite enfance innée chez nourrisson .nourrisson ofdonne stimuli sensoriels fonction patterns schémas organisateurs dis man pur ape late d'os l'ar représentation construit patterns partir stimuli sensoriels savons aujourd'hui comme montré eiblebbelsfeld rire sourire nnés larmes modes d'expression l'on apprend parents comme croyait qu'on apprend parents l'environnement culturel c'est certaine façon sourire apprend pleurer certains moments laisser couler larmes d'autres apprend modérer rire etc ainsi rire pleur sourire temps déterminés bio-anthropologiquement socio-culturellement européens japonais sourient mêmes choses façon sourient tous. c'est l'inné organisateur permet d'élaborer stratégies d'apprentissage lesquelles font acquérir demeure l'opposition -inné/acquis c'est lorsque linné constitue non compétence organisatrice progrämme c'est-à-dire détermination préalable antérieure l'expériente vécue l'individu séquences d'actions stéréotypées programme dispense l'apprentissage bloque tout nouvel apprentissage fait moins d'intelligence d'initiative prédominent programmes comportement oiseaux rüdifuges ceux savent tout suite voler moins intelligents oiseaux nidicoles parents apprennent voler homo dit sapiens très fort inné compétences organisatrices capables également d'élaborer stratégies -très faible inné programmes comportementaux rôle prograrmateur culture compor- programmes tement individus
9,10,linné peut donc signifier non l'emprisonnement hérédité particulière liberté rapport milieu extérieur e.m. l'un l'autre évidemment l'important complexification relation inné/acquis conséquences idéologiques l'on pouvait tirer quant l'être humain xixe siècle pensée pro gressiste anti-innéiste parce qu'inné signifiait l'homme figé déterminations héréditaires dont celles race donc qu'il pouvait évoluer l'évolution apparaissant ainsi antinaturelle contre-biologique aujourd'hui voyons qu'un nouvel innéisine comme celui chomsky insiste constitue l'être humain capacité individuelle s'organiser développer néo-innéisme s'oppose vision fait l'être humain cire molle modelable savons aujourd'hui toute vision sous-estime l'inné tend manipuler façon illimitée non seulement toute vie l'humanité lvssenko n'était l'aspect biologique stalinisme possédons gènes possèdent ajoutons ancien innéisme idéologique fixait termes race fondait vision hiérarchique races caractère évidemment ethnocentrique aujourd'hui génétique moderne retiré toute substance idée race notion floue sans véritable frontière comportant sein incroyable diversité traits d'individus grandes différences grandes inégalités d'indi- vidu ethnie donc €heet hon gén blème déterminano gent indiviete produit nécessi puisque être départ parentaux hasate eur puisque gen patrimoines gén ans binés hasard déterminés génétique somme térieurs ment gènes certes antérieurs ici apparaît grand hncsaie d'élucider j'essaie livre j'ai voulu montrer possédés genes qu'en temps pos sédons gènes pose dent j'ai voulu montre qu'en temps possédés destin c'est-àdire conditions/événements extérieurs déterminent vie pouvons éventuellement posséder -destin tout demeurant destin devient nôtre expérience pouvez-vous expliquer davantage prenons premier point possédons gènes possèdent cela signifie gènes permettent être nous-mêmes temps service constant existence identité personnelle l'héritage génétique limite certes traits singuliers donne globalité aptitudes vivantes cérébrales d'homo sapiens déterminations génétiques singulières elles limitent certaines aptitudes permettent pentes d'en développer autres n'est souffre d'une carence génétique laquelle exemple mongolien l'héritage ique cadeau devient far eau vraie fatalité vient défipital carences ital génétique non luimême capital pren renons maintenant second point déterminati mmmination exté événements frerieure vie j'ai nsances l'occupation stalinisme guerre temps fat guerre résistance j'ai vécu nisme j'ai peutêtre commu destin expérienc ransformer dirais donc nul destin nul n'éch multi bonnes famille déterminations etc culturelles desti expérien rie c'est possible chaque foi nce vécue capables échappe appe sénétiques historiques açon d'incor sub décision c'esta disons choix ainsi éréent conditions d'une libere relative certes dépendante éviden ment cest point vue complexité disjojn détermination liberté toy jiberté servé conditions formation émergence toute liberté éventuellement apte rétroagir sut conditions serait-ce maintenir tenter reproduire mieux comprendre problème faut j'ai essayé faire théorie l'émergence surtout théorie l'autonomie l'individu laquelle doit être conçue non seulement partir auto-affirmation indivi duelle partir corrélativement dépendance génétique écologique culturelle historique vivre mort mourir vie pouvez-vous commenter cette phrt d'héraclite citez superbe vivre mort mot rir vie commentaire cette phras iluminante infini disons tout d'abord meurt seulemer usure savons aujour d'hui l'usure n'existe machine vivante comporte comme moteur d'une chine artificielle savons cette machine auto-produit s'aul réorganise auto-répare mstant rajeuniss0 sans cesse réalité seulement force rajeunir vieillisso épuisons arrêt longue produisent éco nourriciè renv sens d'héracl mor mou maï
