,page,text
0,1,oet elite etre set lost his het trèté pass mines sean dee dns pce sre eng pate set nes pss z+00zl601 man rss paf auuesne7 mi297821 51e race lord suisse:7/60 innvs huja sndeujoyqig stbnno so/e190 9u6j9s sep shnn9p4 sos lil noue deust thae ment pte canaday:513:25missn10032:1583 smrerems alain sar tés rap doute lcr sss pie souistlu suns tee rovtentt url
1,2,ips emplacement offert magazine hiblidthèque cantonlle universitaire 18.dec 1986 chaque minute hommes persécutent d'autres hommes cause leurs opinions tous ire abonnez-vous chronique prison prisonniers d'opinion subissent bulletin privation l'humiliation mensuel information 120 plus orlure adressez dons amnesty international rue l'oubli c'est déjà mort tous jours certains théodore-deck 15015 paris ccp 160.16.u perdent l'espoir autres perdent vie homme source aminesty international espoir prisonniers opinion monde
2,3,lettre l'éditeur chers lecteurs chères lectrices partir numéro psychologie publié équipe entièrement nouvelle depuis plus ans psychologie crée monde s'est beaucoup transformé répondre besoins gran psychologie quel quo- ublic grande presse s'intéresse ubrique vulgarisation tidien l'hebdomadaïre croyons tout contraire aurait-il plus domaine spécialisé psychologie plein renouveau situe carrefours toutes disciplines biologie neurophysiologie éçonomlie sociolo- gie fait éclater cloisons rigides tenaient chaque science emprisonnée l'intérieur d'étroites limites ainsi l'heure mer sure ondes émises cerveau période méditation n'est plus possible maintenir frontière infranchissable entre psycho- logie spiritualité revue souhaite rester ouverte tous tous courants toutes tendances veut lieu d'accueil d'échange rencontre fait l'actualité veut informer découvertes plus récentes aussi bien spécialistes trop souvent enfermés domaine spécialisé profanes curieux souhaitant disposer d'une in- formation sûre pratique utilisable évitant pure spéculation intellectuelle souhaitons apporter éclairage objectif toutes manifestations vie psy- chique aussi irrationnelles soient-elles attachons importante particulière changement transformation personne crois- sance compréhension prise conscience faits sys- tèmes valeur voulons psychologie comme savez lar- gement diffusé canada belgique suisse pointe revues type monde chers lecteurs chères lectrices suggestions utiles créer ensemble revue idéale correspond mieux cherchez proumanc rédacteur chef psychologie juillet-aout 198
3,4,psychologie ruraux dugres cholo gie-human ychologiest psyenves europeen l'associatio res congr pecce lee meme rpm hommmabets crue coordination a/centro studi umanologia rava 00142 roma tel 0639 540.22.91 imichele fest via adol informations inscriptions clauoegeauueu rue turenne 75003 paris tel 271.8762 franc
4,5,ulcureniu dsychoiduic luuret cheveux quatre abus l'analyse auto-analyse bien sûr mal faite peuvent avoir effet diviser personne lieu l'intégrer démultiplier problèmes lieu simplifier numéro soumettons tout spécialement attention trois directions recherche visant plus grande unité personne tradition chinoise fait division quiz êtes-vous passif agressif .................... désarroi espoir suscités rupture politique france j.-j berebi ................ ......... eeese mécanisme l'arnaque faire arnaquer autres soi-même mécanisme comnent protéger sers ... jean ambrosi autre approche reve d'analyse images s'attache vécu corporel rêve donne l'indication d'un mouvement répéter résultat régulation naturelle cycle sommeil ... entre corps l'esprit n'ignore problèmes psychologiques maïs traite tout autrement occidentaux paul diel écrivant belle formule penser vie vivre pensée essayé manière répondre besoin d'unité n'irons jusqu écrire qu'entre lao-tseu qu'un.pas juger jean ambrosi exprime clairement révolte contre psychologisme ambiant verbalisation trop facile choses finalement insignifiantes car l'important situe niveau vécu corporel conçu comme tout trois afticles trois tempéraments différents unité préoccupations dénominateur commun l'harmonie personne cinéma fantastique olivier gillissen s'interroge vogue actuelle cinéma fan tastique psychanalyste docteur magoudi livre réflexions ......... .... ... ..... ..... .......... arthur koestler portrait jacques mousseau examens véritable loterie oui démontrent grand nombre expérien- iesis sevssesssssseesereuseereseeeeeees rétrospective paul diel penser vie vivre pensée aussi sorti carcan freudien disciples continuent œuvie uses sms sus seen nemesessesee apprendre langues développe l'intelligence l'apprentissage langue étrangère transforme toute orga- nisation cerveait serrés srsserne senc esresssennnee chinois tout psychosomatique corps l'esprit niveau diagnostic remède traite ensemble ccc ecs ccc rubriques forum ...................... psycho-actualités ......... .... résultats quiz ........... 417 librairie .................... calendrier juillet-août .......... petites annonces ............... attention numéro couvre juillet août numéro septembre disponible dès dernière semaine mois d'août psychologie juillet-aout 1981
5,6,métier ergothérapeute fille âgée dix-sept ans élève terminale voudrais demander quelques renseignements métier ergothérapeute niveau études préparation diplôme préparer diplôme plus près possible rouen débouchés mme grand-quevilly diplôme d'état ergothérapeute créé 1970 prépare trois ans établissements privés pu- blics études comprennent cours théoriques travaux pratiques stages être admis effectuer études préparant diplôme état d'ergothérapeute candidats doivent remplir conditions suivantes etre apte physiquement psycho- logiquement l'exercice profes- sion indemne toute affection can- céreuse mentale tuberculeuse fexception séquelles anciennes cicatricielles avoir satisfait obligations vaccinales etre titulaire baccalauréat l'enseignement second degré d'un titre français étranger admis dispense baccalauréat ac- cès enseignement supérieur être titulaire d'un diplôme d'état sage- femme d'infirmier pédicure la- borantin d'analyses médicales ma- nipulateur d'électroradiologie psy- chorééducateur diplôme dar mier secteur psychiatrique tout candidat possédant pun diplômes cités ci-dessus doit avoir satisfait épreuves examen d'aptitude doit être âgé dix-huit ans moins l'année pré- sente faut souligner conditions d'admission conditions minis- térielles raison nombre important candidats écoles or- ganisent elles-mêmes propre sé- ection faut donc renseigner au- près chaque école dès premier tri mestre l'année scolaire précédant début études c'est région parisienne physique rééducation handicapés aît plus près rouen deux bablissenents pssurent formation ergothérapeute derg paris 75015 cours nastique médicale rééducation fonc tionnelle privé hôpital enfants- malades 149 rue sèvres créteil 94000 université paris-val-de-marne public départe- ment rééducation communication section ergothérapie avenue géné- ral-de-gaulle débouchés restreints paris plus larges province l'ergo- thérapie s'exerce services pédiatrie l'association nationale française ergothérapeutes rue stockholm 75008 paris pourra fournir renseignements complé- mentaires livres culpabilité actuellement étüdiante maîtrise poursuis recherche thème culpabilité champ pathologique tel névroses psychoses non pathologiue part l'ouvrage libérez-vous sentiment culpabilité docteur harry gulm traduit mariel sinnoir pourriez-vous indiquer références bibliographiques français anglais concernant sujet mlle riom culpabilité phénoménologue paul ricœur paru 1960 philosophie volonté dont volumes intitulé finitude culpabilité deux livres l'homme faillible symbolique mal paris éditions montaigne l'ouvrage d'andré vergez faute liberté paris belles-lettres êté publié 1969 celui pedro lain entralgo maladie culpabilité paris resma 1970 peu ajouter sentiments culpabilité chez l'enfant chez l'adulte paris hachette 1971 serge lebovici culpabilité marc oraison paris seuil 1974 besoin d'amour theodor reik paris payot 973 recueil textes sujet paru lications entre 1926 jean lacroix phi- culpabilité paris france diverses pub 1928 enr universitaires 1977 analyse psychothérapie désirerais savoir différence en- analyse psychothérar pie analyse est-elle plus lon- gue plus dure plus efficace a-t-il aboutissement positif m.c. ciotat psychanalyse généralement plus longue cinq six ans autres formes psychothérapie choix celle-ci dépend beaucoup choses seul spécialiste consulté départ peut connaissance cause orienter vers forme autre moins difficile dire qu'est aboutissement positif psychothérapie rené held rappelle aucune psychothérapie aussi longue soit-elle bien menée qu'elle ... saurait transformer poirier cerisier l'efficacité semble tous traitements peu prés également efficaces façon moyenne donnent entre succès voir particle d'henri ellenber€ aans esychologie n°101 juin tong 7008e m101 comment vaincre timidité ——— sérals reconnaissant bien vouloir faire arvenir renseignements différentes manières vaincre timidité l.r. chateaurenard vaincre dépasser timidité ressort toutes psychothérapies donc peut faire liste ici tout dépend ampleur problème voici petite bibliographie titre indicatif l'article 'arthur wassmer paru 129 1980 psychologie intitulé ain cre timidité l'ouvrage philip zimbardo comprendre timidité paris tnter-éditions 1979 livre vaincre timidité fran- çois suzzarini retz 1978
6,7,abonné depuis peu revue dont goûte tout l'intérêt articulièrement curieux sophro- logie science venez faire découvrir paraît faire porter recherche méthodes mieux adaptées mentalité fran- çaise yoga zen ... per- mettre l'individu résister lavages cerveau fanatis- tout genre conservant parfaite sérénité fayette mars versailles —————— toujours grande joie découvre pages jeux ans revue pages jeux intelligents grand merci mails grand reproche aussi celui offrir plaisir trop rarement pourquoi mensuellement plus jeux actuels lun excellents articles bridge venez avoir bünne idée proposer paris qu'en pensent autres lecteurs propos échec scolaire chromosomes psycho- ogie 131 décembre 1980 réaction mme 134 j'aimerais témoigner lintérêt profond j'ai trouvé lecture article michel schiff telle recherche est-elle néces- saire répondrai tant per- sonne originaire classe ouvriè- père manœuvre mère laveuse beaucoup souffert messages dévalorisation liés l'origine sociale circulaient peu partout école rue publicité médias propre famille certains messages profondé- ment intériorisés trajectoire pré- vue usine comme frères fallu prêtre persuade parents envoyèr petit sémi- naire poursuivre étu- devienne psychologue donc reconnaissant psy- chologie avoir publié cette recher- che certains lecteurs pense aussi mme pourraient être intéressés article daniel bertaux chargé recherche cnrs s'intitule détermi- nation sociale destinées indivi- duelles cette recherche s'appuie enquêtes i.n.s.e.e faites 1964 1970. trouvé numéro economie huma- nisme 1980 bernard jondeau limonest psychologie juillet-aout 1981 l'article psychologie 135 fait médecin opère lui-mé- devenir femme vérita- blement choqué parce consl dère cet acte grosse reur fait irréparable psychologiquement pouvons être voulons l'imagina- tion bornes physio- logiquement anatomiquement gé- nétiquement comme nature bien voulu façon- ner corps terre seul esprit peut divaguer ailleurs j'estime part but entreprise docteur retzsch- mar manqué parce physiologiquement manque l'appareil génital féminin interne fonctionnel psychologiquement devenue femme part entëre homme émasculé xavier izarra étudiant médecine amiens j'attire attention inexactitude concernant asso- ciation accueillons transsexuels seulement de- uis gueues années bel jen depuis fondation 1973 l'association beaumont-continental compte transsexuels membres fondateurs créé intention structure accueil spécifique très efficace depuis 1973 mené action silence discrétion sans décla- rations fracassantes j'ai chargée dire nom semblables article question saurait selon refléter pensées motivations transsexuels authentiques souf- frant chair es- prit gens pondérés raisonnables discrets nullement psychotiques délirants dangereux excités ainsi semble croire semble laisser croire collaboratrice puis affirmer moi-même spécialiste dela chose médicale j'ai pris peine avant écrire rapprocher di- verses autorités psychomédicales réprobation totale unanime très sévère conceptions très originales docteur mme fiatte association beaumont continental porte-parole groupe why n.drl psychologie constamment comme politique entretiens laisser personne interviewée s'exprimer comme entendaït cela signifie journal partage opinions aimeriez-vous changer rencontres désormais rencontrez grâce étude psychologique préalable partenaires dont caractère paffec- tivité sexualité compatibles vôtres chance fantastique offre monde change changez aussi façon découvrir celle cherchez vie parle beaucoup ion depuis 1950 315 articles plus 100.émissions radio t.v livres film traité pro- grès scientifique plus extraordinaire temps domaine mariage lire notamment vers civilisation couple l.m jentel préface louis armand académie française toutes librairies lon international institut psychologie fondé 1950 paris bruxelles genève bon gratuit veuillez m'envoyer sans engage- ment sous pli neutre cacheté couple nouveau mme mlle tous prénom ............ ... ..... age ....... ion france rue sainto ion rhone-alpes psr rockefeller 69003 lyon tél 854.25.44 ion midi-aquitaine psm -tél 53.25.95 toulouse ion belgique psb rue marché-aux-herbes 105 b.p 000 bruxelles tél 511.74.30 ion suisse pss rue petitot 1211 geneve tél 022
7,8,sivous continuellement agressif contraire laissez constamment marcher pieds savez sans avoir besoin test degrés entre rien tout nuances entre l'agressivité mentalité paillas- ... répondez spontanément plus vite possible mettant croix correspondant réponse colonne plutôt vrai pensez agissez cette façon plupart temps plutôt faux faites pensez rarement décrit dis souvent oui alors voudrais dire non plutôt vrai plutôt faux défends droit sans empié ceux autres ... plutôt vrai plutôt faux quiz êtes-vo passil alstessil dominique chalvin hostiles préfère dissimuler pense ressens connais bien personne plutôt vrai plutôt faux plutôt autoritaire décidé ... plutôt vrai plutôt faux général plus facile habile d'agir personne interposée directement plutôt vrai crains critiquer dire gens pense plutôt vrain plutôt faux plutôt faux n'ose refuser certaines tâches manitéstement relèvent attributions plutôt vrai plutôt faux crains donner opimon face interlocuteurs plutôtvrain plutôt faux débat préfère quand voir comment tenir retrait cela tourner lutôt faux plutôt vrai reproche parfois avoir l'es- che pari prit contradicti clutôt faux plutôt vrai mal écouter plutôt vrai autres plutôt faux mvarrange our être se- crets dieux cela bien rendu service plutôt vrai plutôt faux idé énéral comme considère gen assez malin habile rela- tions plutôt vrai plutôt faux j'entretiens autres rap- ports fondés confiance plutôt domination calcul plutôt vrai plutôt faux préfère demander aide collègue risquerait penser compétent plutôt vrai plutôt faux timide sens bloqué dès dois réaliser action inhabituelle plutôt vrai dit soupe lait énerve cela fait rire autres plutôt vrai plutôt faux pai l'aise plutôt vrai joue assez souvent axe uvent comédie comment faire autre ver fins ent arriplutôt vrai plutôt faux plutôt faux plutôt faux cou m'en parole autres sans hdre compte temps plutôt vrai plutôt faux
8,9,jai l'ambition prêt faire faut arriver plutôt vrai plutôt faux sais général faut voir quand faut voir important réussir plutôt vrai plutôt faux cas désaccord recherche compromis réalistes base intérêts mutuels plutôt vrai plutôt faux préfère jouer cartes table plutôt vrai plutôt faux jai tendance remettre plus tard dois faire plutôt vrai plutôt faux laisse souvent travail train sans terminer plutôt vrai plutôt faux général présente tel sans dissimuler sentiments plutôt vrai plutôt faux faut beaucoup m'intimider plutôt vrai plutôt faux faire peur autres souvent bon moyen prendre pouvoir plutôt vrai plutôt faux quand fait avoir fois sais prendre revanche occasion plutôt vrai critiquer quelqu'un efficace reprocher suivre propres principes forcément accord plutôt vrai sais tirer parti système sui débrouillard plutôt vrai capable être moi-même out continuant être acce cialement pié plutôt vrai plutôt faux plutôt faux plutôt faux plutôt faux psychologie juillet-aout 1981 quand d'accord j'ose dire sans passion fais en- tendre plutôt vrai plutôt faux tai souci importuner autres plutôt.vrai plutôt faux pai mal prendre parti choi- sir plutôt vrai plutôt faux n'aime être seule personne avis groupe cas préfère taire plutôt vrai plutôt faux n'ai peur parler public plutôt vrai plutôt faux vie rapports force lutte plutôt vrai peur relever défis dangereux risqués plutôt vrai plutôt faux plutôt faux créer conflits peut'être plus effi- cace réduire tensions plutôt vrai plutôt faux jouer franchise bon moyen mettre confiance plutôt vrai plutôt faux sais écouter coupe parole plutôt vrai mène jusqu bout lai décidé lire lee plutôt vrai uzyztytytyttrr—— peur d'exprimer sen- timents tels ressens plutôt vrai plutôt faux sais bien faire adhérer gens amener idées plutôt vrai flatter reste ncore bon d'obtenir veut ose plutôt vrai plutôt faux plutôt faux plutôt faux plutôt faux pat mal maitriser temps parole plutôt vrai plutôt faux sais manier plutôt vrai ironie mordante plutôt faux ——— serviable facile vivre parfois fais peu €x- ploiter plutôt vrai plutôt faux jaime mieux observer partici- per plutôt vrai plutôt faux préfére être coulisse qu'au premier rang plutôt vrai plutôt faux ———————— pense manipulation solution efficace plutôt vrai plutôt faux faut annoncer trop vite intentions c'est maladroit plutôt vrai plutôt faux choque souvent gens propos plutôt vrai préfère qu'agneau plutôt vrai plutôt faux être loup plutôt manipuler autres souvent seul moyen pratique obtenir veut plutôt vrai sais général protester efficacité sans agressivité excessive plutôt vrai plutôt faux plutôt faux plutôt faux trouve aue lee trouve problèmes peuvent être vraiment résolus sans chercher causes profondes plutôt vrai n'aime faire mal voir plutôt vrai plutôt faux plutôt faux voir réponses page
9,10,vagabond piéton malade circulation ainsi nomme lui-même homme prénommé rodolphe erre depuis vingt ans routes partir l'observation cet homme quarante ans interné mo- mentanément sans raison psychiatri- ailleurs hôpital oulouse trois psychiatres millet collet pon fait étüde facteurs psychologiques peuvent sous-tendre vagabon- age vagabond individu rupture milieu familial sans relations proches souvent ré- signé quête espace perdu celui mère certains chercheront retrouver cet espace perdu drogue autres chemins aventure navigation religion ... chercheurs psy- chose mal seulement l'intérieur sujet situe entre environnement peut proposer autres espaces comme musique danse sport combattre errance lorsqu'elle de- vient véritable psychose psychosociologie autocollants deux voitures allemandes trois ornent plusieurs autocollants point autocollantmanie fini susciter l'intérêt psychologues thèmes arborés cas liés l'automobile marques essence compagnies assurances clubs etc loisirs vante station sports hiver préférée sport favori tandis expriment distinctement opinion politique autre motivations colieur forcené celui constelle carrosserie multiples autocollants tout être cherche sortir lanonymat s'affiche comme peut ailleurs faut bien distinguer comportements compensation corruption ranger première rubrique militant sent plus moins coupable négligence l'égard parti compense mettant évi10 dence autocollant opinion seconde petit malin espère vue timbre œuvres sociales police mettra l'abri contraventions quant véhicules recouverts autocollants manifestant opl- nions contradictoires rarement chez leurs propriétaires autre motivation celle dissimuler atteintes rouille aquarium antistress prochaine fois tension sanguine tendance monter €s- sayez regarder aquarium fortes chances puissiez diminuer tension écologiste alan beck psy- chiatre aaron katcher université pennsylvanie mesuré pres- sion sanguine vingt personnes étudiants membres personnel soumis expérience suivante pen- dant période alternative deux minutes livres cours haute voix méthode standard produire stress modéré puis pen- dant vingt minutes fixé mur recommencé.à lire pendant deux minutes puis fixé pendant vingt minutes aquarium conte- nant poissons plantes uniquement plantes tension sanguine augmenté shirt pennué quand regardé mur baissé encore davan- tage quand regardé aqua- jein bulles résultats meilleurs encore lorsque l'aquarium contient pois- sons observation poissons détend conclut beck connaît effet poissons enfants télévision enfants aussi dro- gués télévision pré- tend huit quatorze ans regardent tous jours pour- centage diminue lâge faut comparer celui adultes cas té- lévision loisir préféré entre derrière pratique sport cinéma sorties enfin regardent d'autant moins télévision niveau socio-économique foyer plus élevé aussi plus sérieux croirait puisque leurs atten- égard émission permet d'apprendre quelque chose nouveau vient tête devan1 voir livre marie winn drogue fleurus 1979 dont psychologie publié la.critique danse 111 avril 1979
