,page,text
0,1,novembre 1981 énumerq sociales vie abibliothè aus issn 0032-1583 mémez-vous peites contrariétés lies res fou lausanne 1097622044 pan ausee
1,2,fin cure psychanalytique page arr nuls drfobiex depuis semaine derniere vaïs bien pausanhe super forme
2,3,eprr cacite époque sévit l'inflation recherche produire plus moindre coût délais plus rapides moins temps moins argent plus satisfaction tel slogan pendant longtemps domaine thérapies critères production industrielle n'avaient cours depuis quelques années assiste retournement daniel goleman présente développement thérapies courte durée etats-unis mariella colin préoccupe manière dont cure psychanalytique souvent interminable peut prendre jin tandis dominique frischer étudie deux cheminements inverses chacun différent cheminement comparable cheminement autre l'efficacité passe aussi reconnaissance cette différence fondamentale enfin kenneth pelletier invite souci efficacité prendre charge ainsi santé approche psychosomatique globale faut négliger aucun aspect nous- tous détails comptent petites contrariétés aussi prendre sérieux psycho-actualités dossier mois quelle durée thérapie mini-cures résultats temps record daniel goleman deuxitinéraires inverses chaque patient différent dominique frischer fin cure psychanalytique mettre fin interminable mariella colin pourquoi tant généraux perdent-il batailles question compétence caractère jean-louis swiners prostituées souteneurs clients société triangle immaturité affective anita khah —————————————— contrôler stress médecine globale stress inévitable forcément mal kenneth pelletier —————— —————— attention petites contrariétés elles peuvent être plus dangereuses grandes richard lazarus douanier rousseau divan l'expression inconscient peinture. yann pichon ——— victor aveyron dernier enfant sauvage premier enfant fou entretien thierry gineste rencontre inoubliable médecin enfant propos recueillis eveline laurent librairie abonnement
3,4,"calendrier novembre 1981 passy buzenva forum national presse école cipe 163 malesherbes 75017 paris ren- seignements michelle maas tél 766.01.86. 308. novembre 1981 conférence- atelier organisée l'association française psychologie humaniste symptôme somatique thérapies psycho-corporelles jean-michel desmarais delocque- foucaud jean-françois feuillette tél 633.95.23. novembre agora evry 91000 evry troisièmes journées d'étude formation l'association l'etude promotion structure intermédiaires a.s e.p.s.i. mathurin-moreau -75019 paris. groupes continus formation techniques psycho-corporelles tai-chi-chuan bio- gestalt jean-claude guyard inscriptions jusqu'au novembre centre d'etude médecines douces chemin gigot 91100 saintry tél 075.54.68. formation conseil conjugal familial inscription jusqu novembre e.p.e.a petites annonces projets analyse écolo. folkeux désire rel rech elle-même sortir communiquer entraider créer genestier envt 31676 toulouse 270 stages séminaires bordeaux ateliers sophrologie groupe thérapie-et psychologie i.p.p intendance tél 44.24.52 268 début décembre montréal québec groupe recherche analyse jungienne psilogie préparation séminaires intensifs contacter marion viseur villa ananda hoogvorstweg b-1980 tervuren belgique 269 psychologie directeur publication daniel roumanoff conseillers rédaction jean-charles benchettrit jean-jacques berreby pierre abecassis rédaction daniel roumanoff colette roumanoff eric edelmann conseillers artistiques pierre didier chapelot psychologie publié petites annonces doivent parvenir tarifs lesautresrubrig psyke editions rue choiseul deaux tél 81.12.19. reprise conféren- psychosomatique caractérolonés retards mentaux handicaps psy moteurs aparehmp tél 329.86.88. réunions novembre paris réunie société française sexologie clinique jabète sexualité scralité s.f.s.c gourcelle -15008 paris tél 227.48.70 de9hà1l3h novembre week-end formation a.f.p.h david boadella rédacteur chef journal anglais energy and character journal bioenerge- tic research auteur l'évolution travail reich ecrire dominique batude a.f.p.h rue savoie 75006 paris rue paul-bert bor novembre paris novembre séminaire-théo- rique organisé f.p.h jacques donnars prés association corps vivre prés honneur société fran- çaise sophrologie présente.son livre vivre tchou 1981 lieu conférences-ateliers séminaires théoriques avenue reille groupe amical propose paris journée peinture créativité expression lib but non lucratif tél 961.31.51 soir 271 graphologue diplômée donne cours initiation perfectionnement petits groupes tél 336.15.04 272 demandes d'emploi rue aristide briand ans cherche emploi psychologue rapport psychologie région-—haute-savoie ecrire knipiler monique,1 résidence beauregard 74150 rumilly tél soir 66.16.92 274 psychomotricienne ans -cherche poste rêda participé numéro yannick bourdoiseau jean-pierre boyer mariella colin dan franck dominique frischer raphaël gallardo daniel goleman fédérique guentleur richard lazarus laurie hawkes yann pichon tudor mhohgsco kenneth pelletier rauch martin sharp alp stea dman .….mprimé france photogravure photogravure swiner égal iskupic. -.-dépôt légal trimestre 1981 numéro d'imprimeur 18trc 321 986 bus gommission.paritaire n°54512 15002 paris tél informations destinées éalendrier doivent nous-parvenir.avant.le.s mois psychologue clinicien hollandais ans spé psychologie 273 :260.95.00 ... cité 014 paris glacière universitaire coordinateur jérôme liss bre 18h l'examen cite l'entretien sexologique ets courcelles 75008 paris tél 22.7.48.70 novembre région parisienne analyse psycho-énergétique renseigne ments jean-claude ponce rue mouettes 78650 beynes tél 489.22.29. novembre paris soirée développement personnel a.d.p.h.- rue bravion 75015 paris tel 533.78.66. novembre paris formation complémentaire secteur médical para- médical social thème couples vie affec- tive sexuelle ecrire a.f.c.c.c ave- nue reille 75014 paris tél 589.18.50. novembre décembre formation thérapie pratique thérapeutes tom frazier stokton californie thème gestalt thérapie c.e.p.h.0.p 231 rue paul-doumer 785 triel-sur-seine tél 970.60.39. hygiène mentale psychiatrie adulte enfant autre collaboration possible expérience gymnastique douce formation cours sciences éduction bio-énergie rela- tionnelle marie-josée fisch bis rue mar- cel allégôüt 92190 meudon 275 cialisé psychothérapie rogerienne comportementaliste cherche poste france exercer recherche ecrire doorlag 78140 vélizy tél :946.80.05 19.3150 132 007 276 bans cadre recherche universitaire pointe phobies saleté thérapeute offre traitement intensif type comportemental liaison centre hospitalier ecrire s-d'emplois textes 10-17 46. frs aes feychology 50-57 publiés company publication and ziff-davis publishing park avenue 10016 york psychologie traductions françaises l'équipe revue tionenchef imprimerie s.i.e.p bais-le.roi psyke paris 1981 mensuel diffusion n.m.p.p"
4,5,documentation étudiante dois constituer dossier thème peut-on parler aujourd hui d'un pouvoir médi- cal j'ai déjà possession article paru juillet 1974 médecin cessé être dieu sherry turkle sollicite part toute autre documentation rapportant sujet médecin service idéologie police médecins bourreaux rap- ports médecin-malade infantilisation malade dissidence soviétique accuse psychiatrie problème déontologie marie-agnès delbes 46800 montcuq psychologie pensons toujours étudiants gens font recherches comme remarquer trouvez souvent fin d'un article interview rubri- savoir plus envoyons demande photocopie liste tous articles publiés das psychologie depuis premier numéro somme numéro intéresse épuisé ferons parvenir photocopie article intéresse somme moyens fournir documentation com- plète sujet donné comme recevons demande plusieurs fois semaine petites annonces fidète lecteur revue abonné depuis peu note annonces gra- tuites dorénavant supprimées sauf demandes emploi pensez-vous renoncer rubri- projets erreur autant psycho- logique commerciale cette rubrique gratuite permettant lecteurs avoir contact entre est-ce branches psychologie jacques metler 95100 argenteuil après longues discussions nouvelle rédaction psychologie décidé supprimer petites annonces gratuites conserver gratuité uni- quement demandes emploi voici arguments gratuité empê- chaît organisateurs stages thé- rapeutes passer annonces autrepsychologie novembre 1981 ment offrant services gratuits cequine correspondait réalité gratuité annonces conduisait certaines personnes passer annonces canulars rubrique projets devenait rubri- rencontres sexuelles quin but recherché quelle thérapie nommée rentrée poste institutrice hôpital psychiatrique nancy j'aimerais com- mencer parallèlement psychothéra- pie dernier numéro article gestaltthérapie aimerais conseilliez type thé- rapie j'ai déjà pris contact analyste lacanienne crains excès verbalisme pouvez-vous indiquer personnes région nancéienne parisienne pratiquant thérapies gestalt autre part édu- cation nationale j'aimerais orienter vers psychothérapie enfants faire comment arri- ver j'ai déjà frappé plusieurs portes obtenir précisions aime- rais avoir avis membres journal catherine noël 88100 saint-die psychologie peut aucun cas conseiller type thérapie plutôt autre numéro dos- sier mois quelle durée thérapie trouverez justement expliquées grand éventail possibili- tés choisir fonction affinités personnelles psychothé- rapie sujet revient souvent colonnes pouvez reporter dernier numéro tout article consacré psychologues scolaires journal intime intensif le\yant beaucoup d'intérêt article journal intime intensif j'aimerais savoir peut trouver france ouvrages progoff atelier d'écriture pratique méditation genre expérience fait france sinon comment contacter progoff autres yolaine cantalejo 75011 paris psychologie partagé lecteurs découverte travaux ira progoff totalement inconnu france jusqu présent aucun ouvrages encore traduit français per- sonne connaissance pratique genre séminaire lisez l'anglais voici références ouvrage journal workshop tra progoff dialogue house library national intensive journal program east eleventh street newyork y.10003 états-unis drogue entretien mousseau lucien engelmager aurait-il place tevue vieille abonnée connais donc richesse interviews partie journal j'apprécie plus lecteurs psychologie sauraient possible répondre lancinant problème drogue associations comme celle patriarche quatre cinq centres fonctionnent pleine campa- gne accueillent toxicos hommes femmes éventuellemet leurs enfants dont sépare lucien engel- mayer patriarche solide équipe rendent anciens drogués dignité êtres humains travail participation solidarité vécue chaque instant journée maryse charragnat toulon psychologie préparons actuelle- ment dossier important drogue janvier février prochain souviendrons suggestion racisme l'école beaucoup intérêt article racisme école institutrice depuis bientôt trois ans constaté choses suivantes enfants origine arabe forment can part mêlent autres donc aussi racisme inverse ... petites classes enfants couleur examinés curiosité rejet oujou its est-il pense enseià rôle très important jouer evelynet lyon
5,6,fférent japonais t-ils cer veau libre intitulé cerveau japonais tsunoda processus pensée logique iologiste japonais tadana ion langage c'est prétend neurophysiorogins responsable fon comme fait regarder sentir sait l'hémisphère étroitement lié fonctions non ver cevoir consonnes non voyelles tandis lhérisphére mins l'hémisphère gauche équipé pop sennes contraire langue japonaise plupart langues indo-eur hrases entières elles seules lang elles phrases entières oran nent begucoud voyelles peut constitens die oblige cerveau utiliser mécanismes expériences menées tsunoda montrent langue japo c'est l'hémisphère gauche japo- occidentaux différents ceux employés autres langues ainsi res ble latéralisation fonction langage nais reçoit voyelles c'est facteur génétique cernant voyelles d'autres sons enfiè- l'hémisphère gauche localisation définitive cercire réflexes rule vers l'âge huit ans langue maternelle sterminée type langage maternel pes érieur cette découverte sug- darencte done manière dont gens reçoivent comprennent con émotionnel culture gère fortement qu'une relation étroite existe entre langage développ mémoire dépend humeurs jusqu présent psychanalystes expliquaient l'amné- souviendra cie cherche sie trous mémoire refoulement préfère s'en souvenir quand onne humeur oublier parce souvenir apparaît comme trop pénible cette expérience corroborée expérience con vivre gordon bower membre l'académie plémentaire laquelle demandé sujets sciences président département psychologie uni- tenir journal intime lequel devaient indiquer versité stanford conteste cette théorie propose états émotionnels lesquels passaient -dans nouvelle explication d'après mémoire dépendrait journée résultats confirmèrent l'hypothèse départ l'humeur laquelle trouve moment s'est gens bonne humeur souviennent d'un plus grand produit l'événement dont veut souvenir suffirait nombre d'expériences agréables d'expériences désaretrouver humeur souvenir perdu gréables gens mauvaise humeur souviennent réapparaïsse d'un plus grand nombre d'expérience désagréables démontrer point vue bower hypnotisé d'expériences agréables groupe d'étudiants évoqué-des scènes agréables puis -quelles conséquences tirer d'abord cela permet scènes pénibles afin mettre d'humeur joyeuse montrer l'inflüence émotions manière dont puis triste donné alors apprendre listes sélectionnons perceptions l'apprentissage jugemots enfin demandé reconstituer listes ment pensée fois apparue l'émotion fait appade mots lorsqu'ils trouvaient d'humeur joyeuse puis raître concepts pensées cadres références d'humeur triste résultats particulièrement pro- correspondent ainsi personne heureuse sembants liste mots apprise quand.la personne ble prête interpréter manière charitable biense trouve bonne humeur cette personne souviendra veillante événements mots appris bonne humeur reuse trouve fautes partou moment demande s'en souvenir contre lement malveillante esi mauvaise humeur moment l'incidence demande s'en souvenir rappelle ments prose coque gens portent juge mots réciproque vraie également per- exercent autres exo ble l'attirdce qu'ils sonne mauvaise humeur moment appris déprimés tendent pre lorsque sujets liste mots souviendra mois associables- gauches sentent ent heureux essaye souvenir état mauvaise humeur jugent comme confiants compétents très sociahier joueurs football rent mêmes tests groupe témoin non-i joueurs football n-joueurs êre générale joueurs football beaucoup plus équilibrés physiquemens âge. mettent moins colère psycholo défis del existence
6,7,l'asthme désir puissance envie pénis selon freud petites filles remarquent pénis frère compagnon jeu reconnaissent immédiatement supériorité manifeste partir moment deviennent soumises désir pénis critiques freud désir pénis métaphore n'est l'envie l'organe masculin pouvoir statut social l'homme récente analyse transculturelle effectuée psychologue l'université cornell sharon nathan confirme point vue selon lequel plus position sociale femme élevée société moins leurs rêves contiennent éléments indiquant envie pénis l'étude porté rêves 084 hommes 902 femmes répartis groupes aussi différents aborigènes australiens étudiants péruviens rêves analysés éliminant informations concernant sexe groupe culturel appréciant degré d'envie pénis selon manière dont sujet semblait admirer désirer symboles phalliques caractéristiques masculines souhaiterais avoir bâton aussi grand celui ... nathan établit parallèlement échelle classification statut femme chaque culture résultats montré désir pénis d'autant plus élevé statut femme faible c'est cas aborigènes arandas australie réciproquement statut social femmes plus élevé comme argentine contenu rêves montré envie pénis moindre cultures gens s'habillent moins différences sexuelles plus visibles révèlent augmentation d'envie chez femmes paradoxalement chez hommes éduquez odorat psychologie novembre 1981 psycho actualités plupart gens peuvent identifier certaines odeurs parce qu'ils n'ont appris mots appropriés décrire possible développer vocabulaire concernant odeurs c'est résultat d'une expé- rience effectuée spécialiste américain william cain professeur yale effet lorsqu'il s'agit d'identifier odeurs plupart gens plus souvent inconsistants imprécis plus frustrés bien entendu neurologues doivent effectuer tests odorat lors malades souffrants blessures craniennes allergies chroniques certaines maladïi fabricants produits synthétiques profitent incompétence générale faire disti odeurs étiquettes savent consommateurs vont plus souvent naturelle l'étiquette boîte permet trouver saveur produit pendant plus d'une décennie psychologues crut personne moyenne tances odeur maïs expérience récente vient montrer augmentant nombre dési siblès eflès mots pour-désigner odeurs possible d'en distinguer plus grand nombre ainsi lus présentées population moyenne celle-ci distinguer bre être augmenté lorsqu'on donné dénomination correcte produits non identifi produits identifiés lors deuxième essai 54. fabricants manière nommer odeurs influence manière dont percevons contrairement idée communément répandue sens 'odorat hommes elles semblent cependant avoir plus grande habitude identi approprié hommes peuvent aboutir performances équivalentes ddpdpdpdpdpopopcpcocoeo———— vue d'une fleur artificielle déclenche eee système immunologique obéit influences psychiques système immunologique sentinelle vigilante maintient l'intégrité corps distinguant fait partie étranger donc potentiellement dangereux quand système immunologique rencontre substances étrangères antigènes comme bactéries virus poussières pollen intervient détruire rendre inoffensives pendant années plupart chercheurs pensé système immunologique n'était lié facteurs psychologiques aujourd hui recherches effectuées l'université rochester rats montré qu'il relation entre système immunologique système nerveux central effet conditionner rats réagir l'eau parfumée saccharine comme s'il s'agissait d'un produit chimique supprimait production normale d'anti-corps système immunologique donc contrôlé certaine mesure cerveau ceci corroboré recherche effectuée australien bartrop montré mort l'époux femme peut diminuer capacité immunologique conjoint vivant bien entendu sait depuis années facteurs psychologiques peuvent influencer santé physique médecins exemple asthmatiques particulièrement sensibles vue d'une fleur artificielle peut déclencher crise violente d'asthme système immunologique dont défaillance l'origine toute maladie n'est non plus indépendant facteur psycholo giques revient dire l'origine toutes maladies psychosomatïiques qu'ils font diagnostics virales d'un autre côté nctions entre accepter reproduction d'une odeur pouvait identifier plus subsgnation pos- mbr plus subsian manière définie entres-elles norm- bien que-le nombre parfum connaissent bien résultat puisque femmes supérieur celui fier odeurs suite entraîn celles femmes. sert qu'ils cherchent reproduire
7,8,enfants doués trouvent enfants doués semblent plus pessimistes leurs camarades prévoient cependant vent ment problèmes peuvent apparaître dune plus souvent solutions résu étude effectuée caroline nord deux cherche méricains portant 110 enfants. question vie ans meilleure pire étudiants répondirent pire con camarade non doués prévoyaient augmentation criminalité l'inflation diminution ressources alimentaires naturelles. demanda ensuite passeraït-il tout enquête menée récemment angleterre por peter wood professeur l'université surey étudié réaction gens incendies auxquels assisté plus moitié incendies répertoriés éclaté maisons privées comme salut éventuel d'une personne dépend plus souvent réaction initiale premières questions posées consistaient demander quelle première réaction l'incendie. plupart réactions prévisibles gens décidaient 'évacuer lieux immédiatement s'ils considéraient feu sérieux n'est surprise bien contrairement l'on croit s'apercevoir qu'il feu n'est chose facile faut noter également différences entre sexes relevées wood hommes plutôt tendance lutter contre l'incendie fois qu'ils quitté bâtiment revenaient plus souvent femmes tendance prévenir autres d'abord puis quitter ensuite bâtiment demander l'aide évacuer famille expliquer pourquoi différences l'instant prématuré wood également observé qu'un grand nombre gens essayaient revenir bâtiment raisons qu'il trouvait très logiques cette découverte souligne difficulté gens éprouvent rien faire quand leurs possessions propriété menacées gens puissent réagir manière sensée lors attention barbus favoris petite moustache trois grande barbe chercheurs demandèrent ordre différent demandèrent gnèrent comme sympa. barbus foni foujours barbes font peur enfants moins d'après l'étude effectuée âgées ans auxquels présenta dessins identiques d'un hom ième favoris plus longs mousta enfants désigner peur enfants devait vivre exactement 100 ans réponses mond doués peu près mêmes don choués roposèrent plus solutions possibles l'un sax écrivit plus vieux ... besoin ite pres maisons tirent comme conclusion vis doués capacité faire appe jus dons créatifs résoudre problèmes accep resp one sabilité solutions trouvées alors autres jar font désespérer etse lamenter nrerése fes enfants pessimistes quant l'avenir général traient optimistes quant propre avenir c'est faux question quand fumée nécessairement feu c'est vrai question mouiller draps serviettes mettre sous porte peut permettre laisser fumée hors chambre c'est vrai question seule porte devez laisser ouverte éliminer fumée l'escalier porte donnant sous toits c'est vrai sujets testés firent nombreuses erreurs pensaient manière incorrecte draps serviettes mouillées n'éviteraient fumée d'entrer pensèrent manière incorrecte portes autres celles donnent toits devaient rester ouvertes éliminer fumée escalier d'une manière générale sujeis donné réponses fausses cas résultats sug- gèrent gens connaissent comportement approprié porsqu'ils temps penser com- ment pourraient-ils avoir comportement approprié cas feu propres californie portant 132 garçons filles maïs l'un rasé près l'autre portait che tombante enfin quatrième homme sympa puis prés faisait peur l'homme barbe
8,9,dossier mois pnr tonnes mini-cures analyses interminables quelle bonne durée thérapie cette question comme voir pose implici- tement autre question quelle bonne thérapie voilà surgit troisième question pinfini variété champ thérapeutique psychologie présente aujourd hui large éventail mini-cures l'histoire exemplaire deux personnes essayé chemins différents avant trouver voie enquête fin cure psychanalytique dossier pages psychologie novembre 1981
9,10,daniel goleman ———— thérapies courte duré porte date limite fixée raisons économique traitement com- l'avance non seulement aussi but thérapeutique peut-on attendre traitement dix quinze vingt séances temps inflation galopante recherche résultats meilleur prix devient préoccupation essentielle thérapies courte durée paraissent doublement intéressantes gain temps gain argent peut poser nombreuses questions sujet qu'est-ce juste thérapie courte durée peut-elle produire résultats durables leurre-t-on efficacité faut bien distinguer entre thérapies brèves dont durée autant limitée thérapies comportementales cognitives familiales thérapies courte durée comportent date limite fixée début traitement problème-clé lequel centrera traitement traitement peut faire séances individuelles groupe certains thérapeutes orientation psychanalytique espèrent provoquer réel changement personnalité efforcent permettre patient prendre conscience partie inconscient autres notamment praticiens mental research institue mri palo alto utilisent techniques comportementalistes recherchent causes troubles passé d'imposer limite mpps arbitraire traitement viole dogme thérapeutique pro- fondément enraciné plus long meilleur pourtant depuis vingtaine années thérapies courte durée trouvent partisans aussi bien chez thé- rapeutes américains européens selon étude récente effectuée ordinateur nombre articles thérapies courte durée publiés revues spécialisées écrits non seulement auteurs américains également européens compris tchèques polonais indiens argentins brésiliens freud premier pratiquer mini-cures thérapie brève pris essor dernières années le'premier pavoir pratiquée sigmund freud lui-même effet premières années psychanalyse thérapie brève cure durait entre quelques mois alors aujourd hui analyse complète peut prolonger nombreuses années autobiographie bruno walter chef d'orchestre décrit cure réussie effectuée freud six séances 1906. deux ans plus tard freud guérit compositeur gustav mahler séance montage martin sharp thérapeute unique quatre heures jui fit prendre conscience identifiait épouse mère confusion inhibait bien entendu relations conjugales selon ernest jones biographe freud mahler fort impressionné lorsque freud dit mère devait appeler marie diverses allusions discours suggèrent comment fait-il épousé femme nom différent alma alors mère jouait manifestement rôle prédominant vie quoi mahler répondit nom complet femme alma maria appelait toujours prénom mère marie vers 1940 époque psycha- nalyse répandait partout trois livres préconisant traitement court terme publiés seul reçut attention public celui franz alexander chef file plnstitut psychanalyse chi- cago recommandait raccourcir durée psychanalyse cela valut être fortement critiqué confrères malgré opposition freudiens orthodoxes principal courant thérapies courtes prit naissance milieux psychanalytiques années soixante notamment pres- ügieux tavistock institute lon- dres variante américaine vit jour peter sifneos psychiatre orientation analytique harvard médical school vers époque james mann psychiatre psychanalyste uni- versité boston proposa propre version indépendamment thé- rapies base psychanalytique variété originale orientation com- portementaliste vit jour mental research institute mri palo alto jours existe variantes diverses écoles parmi lesquelles thérapie séance voir encadré page magritte méditation matinale chirico
