,page,text
0,1,art ciales politiqués bibliothèque sai aus ssi etat 2978 suelrmt bcu lausanne 1097622047 men
1,2,
2,3,sommaire 148 juin 1982 faculté sciences sociales politiques bibliothèque vinet 4004 lausanne dsycholesie psycho-actualités vaincre passivité société actuellement confrontée problèmes vastes complexes senions souvent impuissants incapables maîtriser propre destin croyance progrès indéfini sous-tendue idée choses peuvent passer autrement renforce cette tendance généralisée passivité trois chercheurs travaillant domaines différents affirment possible faire quelque chose face fléaux condition surmonter passivité selon troubles viennent dossier précisément pense être mois impuissant ainsi c'est ravages passivité attaquant leurs attitudes passives entretien jacqui lee schiff daniel roumanoff thérapeute américaine jacqui schiff traité temps record nombreux schizophrènes autres malades mentaux réputés inguérissables psychologue israélien reuven feuerstein mis point méthode efficace développer l'intelligence enfants classés débiles.-enfin médecin américain carl simonton femme stéphanie psychothérapeute mettent pratique techniques affronter succès cancer adoptant réactions actives face maladie soigner enfants schizophrènes thérapeute américaine mis point technique originale reparentage. augmenter l'intelligence méthode feuerstein paul chance famille-aux gants blancs thérapie familiale québec jeanne trottier dimension psychologique cancer mal siècle mal vivre anne ancelin-schützenberger homosexuel peut-il devenir hétérosexuel certains cas souhaite vraiment gilbert tordjman .46 effets bruit surle comportement bruit uns ést musique autres sheldon cohen david white chacun pionniers propose donc mettre fin sentiment. impuissance prenant choses -en main message qu'ils appliquent avänt tout passivité personrielle individus peut s'étendre également passivité socialé ronge société n'est-ce souvent non-intervention renoncement entraînent violence défendre organisme contre maladies comme permettre l'émergence société plus humaine éloignée tous totalitarismes faut avant tout avoir conscience valeur que.nous protéger tenir prêts agir aussi bien traquant propre passivité confrontant celle autres dr. quoi bon travailler ceux veulent plüs perdre vie gagner cédric philibert librairie petites annonées poür'vous abonner offrir psychologie amis notré couverture extraîté livre appia b.lethu genève hue ques tsf pss jacqui lee schife psychologie 148 juin 198
3,4,"restes sale mois précédent arvenir avant doivent informations destinées calendri calendrier culture environneours tél 329.39.16 920.47.81. développement .personnel coenraëts juin rens goarant 182 rue saint-denis 75010-paris pictodrame 13-14-15 juin juillet saint-prix rens andré elbaz ruche passage dantzig 75015 paris vers illumination jacques panafieu 18-21 juin rens rue fossés saintbernard 75005 paris bie thème bogota colombie ccience conscience créativité i-14 sophrologie per édoueré ouv lle profession rens mai soc eveil alam donnars rue théodule ribot 75017 paris onférence internationale ivan jllich joseph needham richard leakey david bohm norbert elias t'hème nouvelles dimensions vie l'intégration corps pensée l'esprit willingen allemagne septembre rens forum international p.b box 2841 d-7000 stuttgart tél 0711 24.80.28. conférences l'homme connaissan cycle cônférénces presque tous jours rue bergère 75009 paris notamment robert linssen jérôme liss danièle dezart jacques panafieu vincent lenhardt etc rens tél 770.44.70 gestalt réflexion ans pratique anne peyronginger serge ginger jeudi juin 20h30 forum rue châtillon 75014 paris l'idéal sri aurobindo p'° monod-herzen mardi juin domus medica latour maubourg 75007 aris bioénergie personnes crise démonstration jérôme liss mercredi juin c.d.p.h. rue turenne 765003 paris participation frais s'inscrire tél 2774381. initiation l'interprétation rêves jeudis juin 20h c.m perrot centre galande rue valentin haüy 75015 paris congrès 10° congrès association internationale psychiatrie l'enfant adolescent dublin juillet 1982. rens prof. colette chiland centre alfred binet edison 75013 paris congrès international psychologie humaniste juillet paris collège stanislas rue montparnasse précédé deux journées réservées aûx professionnels suivi deux journées d'ateliers rens tél 271.87.62 15° congrès international psychologie adlérienne août vienne autriche thème rencontre entre psychologie adlérienne autres formes thérapeutiques société française psychologie adlérienne rue archives 76004 paris congrès mondial sophrologie août transactionnelle 19-20 juin rens c.d.p.h. rue turenne 75003 paris tél 277.48.31 digitopuncture auteur effacez douleurs stimulation points énergétiques 22-23-24 juin reïlle 75014 paris rens ateliers séminaires analyse transactionnelle entreprise pierre nicolas juin rens rue pelloutier 92100 boulogne tél 604.85.19. massage sensitif muriel guillaume et.claude camilly lassociation juin 19-20 juin juillet rens 567.61.87. vidéo-sensitive gestalt massage juin rens eo- b.p 78510 triel-surseine tél 965.60.39 gestalt hypnose rêve 5-6 26-27 juin rens marina per- rer virginie vachon 26130 saint-paul-trois-châteaux moiet autres expression communication juin rens gimca mont parnasse 75006 paris écoute outil approfon- dissement relation d'aide sous direction jacques du- rand-dassier tan nguyen professionnels juin rens centre d'évolution rue saïints-pères 75007 paris initiation l'analyse tran- gactionnelle juin spirale barbès 75018 paris tél 252,30.37 pratique l'écoute guin lch bey cho rue joubert 75009 tél 874.43.60 paris initiation morpho-ps chologie perreux mae juin rens jean-claude guillemain tél 872,96.64. sémantique générale michel saucet juin bis rue jouffroy 75017 paris 45.57.74. sensitive -gestalt massage couples margaret elke mel risman rens cephop 231 rue doumer 78510 triel.-26-27 juin préformation juillet relaxation hypnotique 26- 27° juin facettes gde rue 91580 blancheface tél 492.51.73. psychosynthèse bases essentielles .par s.kull m.sandor juin-5 juillet rens stade cou- bertin 92100 boulogne. analyse .bio-énergétique alain amselek véroni- lewis 1é-7 juillet 20-29 août rens centre psycha- nalyse bio-énergétique mvalides 75007 paris. shiatsu massages réflexes relation masseur/massé eve douard korenfeld centre 76017 paris perdinand méthode feldenkrai ançois figuière las septembre normandie septembré paris rens rue vienne 75008 paris mensuel diffusion nm.p.p psyhologie psychologie publié loft international rue lord byron 75008 paris directeur publication bernard loiseau conseillers rédaction jean-jacques berreby pierre chapelot da- niel roumanoff rédaction cédric philibert laurent sa- muel conseiller artistique didier chapelot administra- teur bertrand lobry chef publicité hubert blin participé numéro anne ancelin-schützenberger appia jean-pierre boyer florence burloux paul chance sheldon cohen maurice delwarde dédic drago fersten david hockney roland jaccard mercier régis miramond puig rosado colette roumanoff gilbert tordjman jeanne trottier david white articles publiés l'accord psychology tod icati and davis publishing company park avenue 10018 new province usa psychologies jes traductions nçaises l'équipe ravue psychologie peut être tenue responsable manuscrits documen groupe d'évoluti nelle 5.6 juin rens agora suite page bio-énergie gestalt analy-"
4,5,psychoactualités lpatchimie desicaracteres tous parents grands-parents baby-sitters savent dès premiers jours certains bébés faciles vivre doùx prévisibles autres plus difficiles instables recherches d'andrew 'sostek richard wyatt l'institut national américain santé mentale permis constater différences comportement entre nouveaux-nés liées présence d'une enzyme monoamine-oxydase mao circulant le-sang cer veau comparant taux sanguin mao nouveaux-nés etleurs résultats tests comportement deux chercheurs amenés cette conclusion bébés taux mao faible tendance être plus perturbés irritables ceux taux mao élevé ailleurs nouveauxnés taux mao faible plus remuants fonctionnement appareil moteur meilleur chercheurs pensent mao agit comportement inhibant neuro-transmetteurs cerveau véhiculent messages entré neurones faisant mao freine cellu.les cérébrales sinon activées par-conséquent faible taux mao implique activité plus intense éveil plus important cerveau. sait encore d'autres substances chimiques cerveau comme endorphines présentes quantité suffisante naissance influer également comportement ñouveaux-nés reste aussi déterminer prédispositions-biologi.ques persistent toute vie nou veaux-nés plus dynamiques devien nent-ils adultes extravertis avides sensations bébés plus placides adultes introvertis taciturnes. bosseidesimaths enpuberimte est-ce raisons génétiques que'les garçons plus forts maths filles étude récente psychologues célèbre université américaine johns hopkins défendait .cette.thèse vient d'être remise cause nouvelles découvertes analysant résultats 000 élèpsychologie 148 juin 1982 ves classes secondaires test d'aptitude mathématiques deux chercheurs camilla benhow julian stanley observé l'intérieur peloton tête garçons obtenaient meilleurs scores leurs petites camarades déduisaient capacité supérieure raisonnement mathématique chez hommes. cette interprétation résultats fortemént critiquée deux mathématiciennes mary gray l'université américaine alice schafer collège wellesley leurs yeux test administré mesure plus connaissance certaines techniques capacité propre raisonnement mathématique d'autre part selon peter gessner l'université l'etat new york büffalo parents garçons préparent plus leurs enfants test.que ceux petites filles plus largement benbow stanlet selon leurs détracteurs négligé prendre compte certains facteurs liés l'environnement pañticulier milieu familial activités extra-scolaires enfin différences-entre garçons fil sensibles uniquement chez sujets plus doués deux trois cent seulement garçons plus performants maths meilleurs résultats meilleures filles proportion bien -faible tirer conclusions sans appel peut-être supériorité certains garçons maths est-elle rapprocher l'âgé puberté c'est moins suggère étude d'un psycho- logue l'université stanford merril carismith selon observations l'intelligence l'aptitude mathématiques renforceraient lors puberté grâce différenciation accrue entre fonctions deux hémisphères cerveau cela expliquerait pourquoi garçons dont puberté intervient moyenne deux ans après celle filles général meilleures notes maths .que filles cours cette pétiode début l'adolescence in- dice supplémentaire filles puberté tardive meilleurs maths autres filles segee possibilités mémoire oin douter arrivant chez eis j'allais être témoin d'un spectacle vraiment extraordinaire décupler puissance mentale fait venir stockholm parler suédois pasteur grands savants français soir arrivée après champagne conversation roula naturellement'sur difficultés parole public grand travail impose autres conférenciers nécessité savoir perfection mot mot discours w.r.borg dit alors qu'il probablement moyen m'étonner connu lorsque faisions ensemble droit paris plus déplorable mémoire. ecula jusqu'au fond salle manger prie série cent nombres trois chiffres ceux voudrais appelant haute voix lorsque j'eus ainsi rempli haut bas marge d'un vieux journal w.r.borg récita cent nombres l'ordre lequel écrits puis sens contraire c'est-à-dire commençant derniers laissa aussi l'interroger position respective différents nombres demandais exemple quel 24° 72° 88° etje vis répondre toutes questions sans hésitation sans effort instantanément comme chiffres j'avais écrits papier aussi inscrits cerveau demeurai stupéfait pareil tour force etje cherchai vainement l'artifice avaitper- mis réaliser ami dit alors semble extraordinaire réalité fortsimple toutlemondepossèdeassezdemémoire .pour faire autant rares personnes savent servir de.cette merveilleuse.faculté m'indiqua alors moyen d'accomplir tour force parvins aussitôt sans erreur sans effort comme parviendrez vousmême demain bornai expériences amusantes j'appliquai principes m'avaient appris occupations chaque jour pus ainsi retenir incroyable facilité lectures conférences j'entendais celles queje devais prononcer nom personnes ren- contrais fût-ce qu'une fois adresses qu'elles donnaient mille autres choses d'une grande utilité enfin constatai bout peu temps non seulement mémoire progressé j'avais acquis attention plus soutenue jugement plus sûr rien d'étonnant puisque pénétration intélli gence dépend surtout norñbre l'étendue souvenirs voulez savoir comment obtenir jes mêmes résultats acquérir cette puissance mentale encore meilleure chance réussir vie priez borg envoyer intéressant petit ouvrage documentaire les'loïs éternelles suc- cès distribue gratuitement à.quiconque désire améliorer mémoire voici adresse borg dpt 947 chez aubanel place st-pierre 84028 avignon cedex nom aubanel pour.vous garantie sérieux depuis 250 ans aubanel dif- monde les-meill psychologie pratique sures méthodes barsan bon grant remplir lettres majuscules onnant adresse permanente retourner 84028 avignon cedex recevoir sans engagement succès nom prénom code postal ville aucun démarcheur rendra visite eme mme iles étonnantes borg dpt 947 chez aubanel place st-pierre part sous pli fermé lois éternelles
5,6,"pellicre juge culture arrive souvent rencontrant tel homme telle femme dont l'assurance fait l'admiration tous interroger causes influence. facteur essentiel permet personnalité s'exprimer cette assurance laquelle aimeriez aussi pouvoir compter privilège gens cultivés leurs connaissances étendues variées confèrent cette ouverture d'esprit donne faculté d'être ättentifs autres faire tous contacts humains vie quotidienne échanges fructueux passionnants comme pourrez bientôt surmonter appréhensions grâce l'étonnante méthode formation tulturelle 1.c.f documents services domicile apportera connaissances indispensables domaines plus actuels plus divers politique philosophie économie histoire littérature théâtre cinéma peinture musique sports ... facilement assimilable cette méthode pro gressive peut être étudiée quelques mois sans changer rien occupations habi tuelles milliers personnes profité cel moyen commode rapide discret cultiver documentation gratuite 3435 institut culturel francais rue collange paris-levallois tél 270.73.63 magenta source 10paris mort re-creation comment créer vie 19-20 juin voix corps-et conscience analyse psychovocale énergie 12-13 juin 3-4 juillet l'ecoute professionnels journées d'etudes pratique 12-18 juin 15-16 juin 9-10 octobre etre homme être femme 49-20 juin creativite art-therapie .19-20 juin mere l'amour septembre -cycle formation relation d'aide automne 1982 ateliers août près montpellier voix corps conscience 19/8 mort récréation 23/8 créativité artthérapie 25/8 .centre 2623 anoreer. psychoa ctualités congreside rsmgholog ranspersonnenle dean anciennelalaiscienceimolde iouée l'hommé l'univers dosagesse ancienne science moder- erquee newton descartes tel thème conférence ainsi expliqué bombay physiannuelle l'association are gien fritjof capra vient désor- nelle internationale bte considérer l'univers non plus février dernier bombay inde pendant horloge comme réune semaine 800 partici seine seau interdépendant d'événements chologues aussi physique contemporaine biologistes éducateurs ar- relations rent uvre conscience n'est een edenert épiphénomenc insinitant pratiques exposé introductif matière attribut cena stan grof président l'association dia d'emblée situé perspective générale conférence sion analyse développé arguments semscience occidentale telle qu'elle s'est dé- blables veloppée depuis quelques siècles souffre comme souligné stan grof d'être enfermée perspective nouvelles perspectives-de science momécaniste matérialiste déterministe derne rejoignent d'une part décou- place ainsi situation vertes biologie d'autre part conflit irréconciable religion traditions religieuses anciennes aussi spiritualité .cette science œillères bien de.l'orient taoisme bouddhisme bonne part responsabilité zen jaïnisme etc .que l'occident l'actuelle crise économique sociale gnose kabbale mysticisme chrétien .car responsables politiques etc. au-delà leurs différences l'économie encore chercher l'originalité leurs approches ensem- solutions plan national ou- ble participants cette conférence blient tous pays interdépen- tombés d'accord fait qu'une dants. synthèse entre sagesse ancienne grof autres conférenciers sciencè moderne entre pensée orien- bombay proposent au- tale pragmatisme occidental tant tourner dos science bien non seul immire ement possible imminente contraire car nombreuses décou- naler aire gnaler également l'intervention très vertes scientifiques récentes dont certai- remarquée mère thérè nes exposées lors cette géles participants lutter non seul ment coñférence remettent cause vision contre faim physique inde afrique aussi contre faim d'affecÿ menées endresse gone soutient sociétés industrielles lta 0218.33,78 mayo streët los angeles 90042 1588 voir interview psychologies 144 professeur l'univers usa auteur tao physique cqrernie sara rele isoloirs rapprochent suicide pagnes février proportion suicid etats-unis dura enre"
6,7,psychoactualités octobre années d'élection d'un président celle suicides enregistrés durant mêmes mois années précédentes suivantes 1912 1972. chiffres montrent moins suicides durant années électorales myron boor affirme qu'il très peu chances qu'un tel résultat fait climat manière dont suicides enregistrés propose d'explication phénomène tout plus peuton rapprocher d'études plus anciennes montrant qu'on meurt moins toutes causes confondues veille fêtes jours fériés sans doute parce l'occasion cérémonies gens sentent mieux insérés société faudrait alors conclure lorsque citoyens d'un pays trouvent devant choix collectif important faire éprouvent impression meil leure insertion sociale sent moins isolé l'isoloir atention amtention deux groupes sujets entraînés l'un faiblement l'autre fortement accomplir tâche intellectuelle demande exercice très voisin sujets tout entraînés meilleurs résultats ceux -du groupe faiblement entraîné sujets tout exercés ceux beaucoup atteignant sensiblement niveau d'efficacité premiers ässez entrainés être performants trop réfléchir vraiment agjr faire preuve présence d'esprit sujets trop exercés réfléchissent plus problème agissent absence d'esprit pourquoi font peine mieux sujets tout entraînés tel résultat d'une étude menée trois psychologues américains ellen langer université.de harvard arthur blank benzion chanowitz selon quand très habitués faire quelque chose savons plus comment faisoris s'il survient modification mineure tâche apercevons échouons l'abserice d'esprit donc état d'activité connaissance réduite durant lequel personne répond l'environnement sans considérer d'éventuels éléments nouveaux conséquence inattendue l'usage concept nouvelle appro- che sénilité petit larousse définit celle-ci comme affaiblissement- physique surtout intellectuel produit vieillesse tests réalisés maison retraite mêmes psychologues donné curieux résultats groupe résidents considérés moitié séniles comparé groupe jugé non sénile leurs capacités décrire l'usage divers objets sujets séniles montrés aussi intelligents autres plus créatifs conclusion psychologues disparition comportements absence d'es- prit prise affaiblissement intellectuel laisserait développer chez personnes âgées attitudes présence d'esprit nouvelle surprise attendait psychologues lorsqu'ils mis compa- rer longévité personnes décédées maladies cardiaques sujets séniles vivaient six ans plus longtemps longévité présence d'esprit donc direc- tement reliés moralité considérez toute chose présence d'esprit .vivrez plus longtemps difficile donner recettes cela car plus suivons recettes plus vivons état d'absence d'esprit vie n'est toujours simple. psychologe 148 juin 1982 réussilo profossionollo sociale affectivo methodes d'action maurice ogier arlez aisance vie transformée audace parole exprimerez aisance clairement mots viendront facilement apprendrez techniques parole l'improviste trucs professionnels saurez convaincreet faire passer idées cette nouvelle méthode très concrète permettant chacun mettre valeur capacités bourrées conseils personnels débloquera apprendra développer sans cesse plus confiance maîtriser émotivité âvec contacts dialogue apprendrez l'art contacts faciles tous toutes faire amis assimilerez techniques négociations conversation comment démarrer entretenir faire face tout entretien difficile surpris progrès psychologie comprendrez mieux réactions autres saurez comment rendre encore plus sympathique vie privée comme vie professionnelle personnalité épanouira découvrirez raisons blocages moyens pratiques éliminer certitude parole ouvre porte réussite écoutera parce saurez mettre-en valeur qualités autorité croîtra projets réaliseront epanoui dynamique réconcilié vous-même etavec société connaitrez enfin vraie joie vivre contact autres vie la.ferez quels âge situation sociale instruction quelques semaines tout peut changer pobr paris maurice ogier entraînera conseillera personnellement petits stages amicaux partout ailleurs recevrez poste sous pli personnel méthodes d'action .ses conseils maurice ogier institut français communication rue plaine 75020 paris tél :373.11.70 nation pat ———— bon l'envoi livre maurice ogier parler aisance sans engagement d'aucune sorte sous pli fermé confidentiel ainsi références ren- seignements concernant méthodes d'action jiiitiiizrizz
7,8,dijulien cohensolal 114 deux premières années vie prodigieux éveil l'enfant deux premières années vie prodigieux éveil l'enfant tous jeunes parents complément indispensable comprendre soigner enfant robertlaftont ychoactualites pet étérhoneine ment conversation téléphone nent montrer plusieurs études réalisées angleterre etats-unis selon morley stephenson lunette ram urs gum échang tandis conversation argumenis gens modulent sans cesse attitude fonction réactions tre modifiant expressions visage leurs morley stephenson également établi validité point vue arr celles considèrent posi études menées laboratoires bell l'université columbia new york lä.tonalité voix s'élève cas mensonge cela remarque plus téléphone parce l'attention l'interlocuteur-est concentrée voix conclusiori quelque chose cacher demandez rendez-vous. cas négociez téléphone cela fera gagner temps l'énergie tout vous-donnant meilleures chances.de succès méfiez-vous quand répondeurs téléphoniques généralement inflexibles laissent persuader facilement nombreuses personnes font souvent passer moins intelligentes qu'elles réalité compor- tement plus fréquent chez per- sonnes instruites occupent pos- importants telle conclusion d'une étude menée michael hughes walter grove deux sociologues travail environ l'université vanderbilt u.s.a. adoptent d'hommes femmes croyait jusqu maintenant pan ete attitude enquêtes datant années irra lin femmes cauns dal war mans souvent cett plus sou- attitude travail vent leur-jeu hommes cette idéé sarommes parce qu'elles reçue fausse prouver écessi deux chercheurs .ont soigneusement mi- rayon eff tonné question afin qu'elle comporte aucune ambiguités entaché enquêtes précéden- ons demandé avez-vous jamais c/essionnelle feint d'être moins intelligent instruit l'êtes réellement personnes interrogées réellement inférieures selon résultats obtenus constituent hommes admettent s'être volontaireme nom dévalorisés contre seulement dévaloris femmes fréquence comporte ane ment voisine quel éexe faire appréci récier in- renco inst dour ncoontrer per pogiive 0-01 représente qualté relations couple femmes hommes ectuellement comme l'écon.°ut domai- fiomie finances tmtain compétenc
8,9,"réservé mari revanche point n'est besoin elles d'un tel subterfuge concerne activités traditionnellement considérées comme féminines la.maïison enfants… d'autre pan jeunes gens feignent plus fréquemment l'infériorité intellectuelle leurs aînés personnes niveau d'instruction élevé celles-ci comportement'en particulier leurs collègues étrangers enfants quant gens occupent postes importants tendance prétendre être idiots patron leurs amis étrangers grand chose l'affaire contraire l'origine ethnique juifs particulièrement nombreux laisser dévaloriser intellectuellement enfin faux idiots moyenne moins bon équilibre mental reste population total selon hugues gove faut être intelligent cultivé moins croire l'est jouer idiots façon convaincante culture l'intelligence doivent être estimées prises sérieux .par interlocuteurs enfin effets positifs comportement doivent être considérés personne comme supérieurs effets négatifs conclusions cette enquête sorit cohérentes idées-maîtresses démocratie américaine selon laquelle chaque personne d'une intelligence peu près égale celle voisin individu croit être contraint cacher l'infériorité intellectuelle feinte est- donc souvent façon d'éviter situations génantes faciliter rapports sociaux hugues grove disent comment distinguer faux idiots vrais plus bêtes toujours ceux l'on croit psychoactualités fait d'être marié non change ienicadieornie plus malin autres sentira pnds-loi lhétends ieaypnose thorsipayloi police justice californiènnes pourront plus avoir recours l'hypnose ainsi décidé récemment cour suprême cet etat américain sélon juges personnes hypnôtisées particulièrement susceptibles d'être manipulées croire dur comme fer s'ils mentent vont én.en- fer souvenirs imaginaires cette décision risque donner coup frein l'utilisation judiciaire l'hypnose etats-unis californie donne effet modes quelles qu'elles plus la-police los-angelès s'est fait connaître tout pays comme uütilisatrice-ferdifficiles déjà plusieurs etats décidé limiter usage certainés situations bien délimitées part l'arizona minnesota viennent d'imiter californie interdisant purement simplement l'hypnose au.tribunal las vontals cterclter tour psychologues servent prouver choses n'importe dire disent ceux croient psychologie n'ont totit fait-tort l'on croit-harriet mischel psychologue l'université stanford californie demandé enfants deviner résultats expériences classiques psychologie majorité deviné plus âgés moyenne n'ont toutefois deviné exemple qu'un chien salive coup'de sifflet habitué coup sifflet chaque fois qu'on présente nourritüré ceux croient recherches psychologiques n'ont donc päs tout articles plus 100 émissions radio arès scientifique plus extraordinaire aimeriez-vous changer rencontres pes célibataires désormais rencontrez grâce l'étude psychologique préalable partenairesdont caractère laffec tivité sexualité compatibles vôtres chance fantastique offre ion. monde change changez aussi façon découvrir celle cherchez vie parle beaucoup ion depuis 1950 t.v livres film traité pronotre temps domaine mariäge.\ lire notamment vers civilisation couple l.m jentel préface louis armand académie française toutes librairies œlon international vente l'hypnose résoudre-les cas paris bruxelles genève bon gratutes veulllez m'envoyer sans engage- ment sous pli neutre cacheté livret d'information couleurs couple nouveau 21° mme mlle prénom lion france 63,94 int 76008 paris tél 826./0,85 lazare d.ion rhone-alpes ékéreter 68008 lyon fee gagvenue roc zion midi-aquitaine psm pémolselles 31400 toulouse tél 53,25,9 belgiqu bès 105 boite regis marché her allée ee- -1000 bruxelles fait raison non plus répondront sans doute harriet mischel n'importe ion suisse rue linie pouvait prévoir résultat expérience 1211 geneve tél iso 288 psychologie 148 juin 1982"
9,10,l'association centenaire chaire j.-m. charcot alpha l'association culturelle fnac présente juin chapelle saint-louis salpêtrière l'hôpital 75013 paris spéctaclé exposition autour j.-m. charcot l'hysterie spectacle hysterie créé grupo cion instrumental buenos aires dirigé jorge zulueta jacobo romano présenté plusieurs festivals internationaux rassemble chanteurs internationaux c'est opéra-collage réunit tous éléments dramaturgie théätre-chant-danse-musique réflexion psychanalytique structure spectacle celle-là crise hystérique ouverture quatre mouvements hystérie présenté tous soirs sauf dimanche billets prendre fnac exclusivement prix places collectivités étudiants adhérents alpha-fnac l'exposition j.-m. charcot l'hysterie-au xix® siècle retrace personnalité j.-m. charcot dont célèbres leçons auxquelles assistèrent entre autres axel munthe freud illustrées précision richer auteur démoniaques l'art ouvrage lequel médecine art rejoignent too ouverte au-public juin tous jours 20.h 20h personnes munies d'un billet-d'entrée spectacle débats autour charcot l'hystérie juin chapelle salpêtrière. madade simentauxe ugeis ges plus préfets /au violon juges décideront l'enfermement malades mentaux tel projet actuellement envisagé commission réforme .du code pénal présidée robert badinter ministre justice juges décideraient aussi maintien d'un malade hôpital psychiatrique sortie projet semble premiere vue donner plus garanties démocratiques donnant responsabilité l'internement non plus fonctionnaire nommé pouvoir central magistrat indépendant pourtant nombreux psychiatres s'en inquiètent car redoutent responsabilité thérapeutiques ainsi placée mains personnes étrangères rnédecine soin retrouve assimilé sanction docteur hivert méde cin-chef centre médico-psychologi- que.de santé jusqu estimer projet fait psychiatres auxiliaires prison texte discussion prévoit aussi définition nouvelle l'irresponsabilité troubles mentaux appliquerait désormais infractions général non seuls crimes déits notion trouble psychique neuro-psychique remplace celle bien vague démence enfin l'acte dé- lictueux lieu d'être nié comme texte vigueur simplement considéré comme non punissable nouveau texte devait être prochainement adopté parlement cadre réforme code pénal révision loi 1838 semble revanche encore éloignée texte permet notamment £plaéement d'office personnes hôpital psychiatrique ministre santé jack ralite récemment annoncé intention réformer cependant certains psychiatres font observer placement d'office concerne moins admissions hôpital psychiatrique qu'il existe bien d'autres moyens pression manipulation vis-à-vis malades mentaux réels supposés nouvelle législation devrait tout cas concilier nécessité soigner rapide ment malades pouvant être dangereux société celle respect droits élémentaires citoyen gore souligne michel bénezech conférer psychiatrie maître magistrature nationale contrôle judiciaire rapide permanent strict mettre limiter abus devrait per ratio tmassana vienmenierangce inutile d'aller inde cet maîtres indiens viennent .sana déroule jong éprouvant éditati
